_key,_ts,time_ms,time_iso,hash,coin,usdc,szi,fundingRate,nSamples,type
funding-e89013986bc1e5a77752dac3534178c1c44fb62c,1782874800011,1782874800011,2026-07-01T11:00:00.011000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,-0.000186,0.048,0.0000125,,funding
funding-96814ac004d022efabfeff0bc70fc6a4053d0756,1782874800011,1782874800011,2026-07-01T11:00:00.011000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000073,-0.033,0.00000625,,funding
funding-6c01896815eafc23ccd53d5d560fbf6a1b5b85bd,1782878400001,1782878400001,2026-07-01T12:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,-0.000187,0.048,0.0000125,,funding
funding-57c18d2b4679d36879f451fb35e17bde0b006bba,1782878400001,1782878400001,2026-07-01T12:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000073,-0.033,0.00000625,,funding
funding-dc7d9f0c456df0b1920e3d60c3cd2c53e97c5e4b,1782878400001,1782878400001,2026-07-01T12:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001318,0.07,0.0000679086,,funding
funding-4852cbe920c7c1eb634619ff6e82f62b2d6d6ef4,1782882000000,1782882000000,2026-07-01T13:00:00+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,-0.000185,0.048,0.0000125,,funding
funding-a646128165b4e6e7dfb8b583f1f9d1d239ef6770,1782882000000,1782882000000,2026-07-01T13:00:00+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000073,-0.033,0.00000625,,funding
funding-a47a618775d6c82e10a86b42e276d1cb1c76c267,1782882000000,1782882000000,2026-07-01T13:00:00+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001383,0.07,0.0000713732,,funding
funding-4178bebe3fe42fb615e072124bd11acd3f8a522b,1782885600001,1782885600001,2026-07-01T14:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,-0.000186,0.048,0.0000125,,funding
funding-d4f0a641c9b08039775c77cff3f04cb3ca58160e,1782885600001,1782885600001,2026-07-01T14:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000162,-0.033,0.0000138292,,funding
funding-1bb7b107d58676a8198acda56d66a08086c498e8,1782885600001,1782885600001,2026-07-01T14:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001167,0.07,0.0000603625,,funding
funding-b79c329770bb869c35777ccee3e3d6ad059b2486,1782889200022,1782889200022,2026-07-01T15:00:00.022000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000192,-0.033,0.0000164124,,funding
funding-28662e5c6c20f9cc0994599236744f18c6600383,1782889200022,1782889200022,2026-07-01T15:00:00.022000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001021,0.07,0.0000529197,,funding
funding-23c502314ede29236ad4ea4b3c1f08ee1c492ba4,1782892800065,1782892800065,2026-07-01T16:00:00.065000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000087,-0.033,0.0000074535,,funding
funding-2dfa0ac221a664da714e586da991cc2827356e1f,1782892800065,1782892800065,2026-07-01T16:00:00.065000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001169,0.07,0.0000607223,,funding
funding-bab42927bbe644a6ac6724710d0be72304cbff57,1782896400040,1782896400040,2026-07-01T17:00:00.040000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000073,-0.033,0.00000625,,funding
funding-08e01fa779ce0c08e30b3841c0d97e6b86afb7e0,1782896400040,1782896400040,2026-07-01T17:00:00.040000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001895,0.07,0.0000986261,,funding
funding-647d97147ad04d08f2e95bc9035a9f73ec42a82f,1782900000048,1782900000048,2026-07-01T18:00:00.048000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000368,0.0005,0.0000125,,funding
funding-20443d55f1f3abe1eaa78e86a1c109853cb5b44f,1782900000048,1782900000048,2026-07-01T18:00:00.048000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000073,-0.033,0.00000625,,funding
funding-d7dfdcc8a46e2468160f1444ef7eef55560445a3,1782900000048,1782900000048,2026-07-01T18:00:00.048000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001401,0.07,0.000072293,,funding
funding-c71a2540d179ba9fcdf16e18087288f3f505338b,1782903600001,1782903600001,2026-07-01T19:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000142,0.0005,0.0000048544,,funding
funding-7159c06b3bb1da9ea2b309ebc6d5348c85fcc2ea,1782903600001,1782903600001,2026-07-01T19:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000111,-0.033,0.0000094647,,funding
funding-6b883d803f9a0e3603c5afca3ed0aaaf057e6486,1782903600001,1782903600001,2026-07-01T19:00:00.001000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001118,0.07,0.0000573741,,funding
funding-910bb5272a220f9c377a6e944b9682000ad1c0e4,1782907200044,1782907200044,2026-07-01T20:00:00.044000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000325,0.0005,0.0000110907,,funding
funding-f86c4cba20100eb8d180cacfae4cb956ebaee64a,1782907200044,1782907200044,2026-07-01T20:00:00.044000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000112,-0.033,0.0000095797,,funding
funding-ce9c412f6b1e36eb27fbec1c21c06aaa5460cb26,1782907200044,1782907200044,2026-07-01T20:00:00.044000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,-0.001274,0.07,0.0000656598,,funding
funding-270c3be1375e1c158c34348c81ae7e8b2d73e9a6,1783170000049,1783170000049,2026-07-04T21:00:00.049000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,-0.003679,-0.17,-0.0001744093,,funding
funding-e8132a3946f078b419c1c8a06f610f7fd370be16,1783170000049,1783170000049,2026-07-04T21:00:00.049000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000067,0.15,0.00000625,,funding
funding-bd01272d85336bf0348e5600485f92459a632ded,1783173600051,1783173600051,2026-07-04T22:00:00.051000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000242,0.00031,0.0000125,,funding
funding-fb508c3d8292253d818da623977016a3b4fcd2ed,1783173600051,1783173600051,2026-07-04T22:00:00.051000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000138,-5.0,0.0000125,,funding
funding-381319f4b7cba6e3ab9e8521ce94dfaf30335a0e,1783173600051,1783173600051,2026-07-04T22:00:00.051000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,-0.001919,-0.17,-0.0000912922,,funding
funding-233df5e54df0cbf463903d40275545c136db57c5,1783173600051,1783173600051,2026-07-04T22:00:00.051000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000385,0.15,-0.0000355588,,funding
funding-79ba64364544bbd519c216e777703a14d1e1dbd1,1783177200083,1783177200083,2026-07-04T23:00:00.083000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000242,0.00031,0.0000125,,funding
funding-fd0896ceeaec51e3875a1d913763f7f329d24975,1783177200083,1783177200083,2026-07-04T23:00:00.083000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-5170c876260d40ed51da90e95ccff141409f1d24,1783177200083,1783177200083,2026-07-04T23:00:00.083000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-233c473430587bafd6dd0102f7f1148b3e9cd1df,1783177200083,1783177200083,2026-07-04T23:00:00.083000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000032,-0.15,-0.0000029831,,funding
funding-2ec75947770da3d79ec7638839cffb960735e6f8,1783180800074,1783180800074,2026-07-05T00:00:00.074000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000243,0.00031,0.0000125,,funding
funding-6108fe6855e9df89009462883140aa34ad49e235,1783180800074,1783180800074,2026-07-05T00:00:00.074000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000138,-5.0,0.0000125,,funding
funding-cf0567e4b05b565c4da7aaacdacd445ddd3334b7,1783180800074,1783180800074,2026-07-05T00:00:00.074000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-c22ebe57e68d47878a27f09cc41562b2d185b662,1783180800074,1783180800074,2026-07-05T00:00:00.074000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-6ae599497c21335ed0d655e09f26c89b1516a353,1783184400031,1783184400031,2026-07-05T01:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000243,0.00031,0.0000125,,funding
funding-fb851665dd54f4d5ffb84a6b692a9156eeb53b2a,1783184400031,1783184400031,2026-07-05T01:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000136,-5.0,0.0000125,,funding
funding-7dd19f6962e622a6b4e7279be64d6aad643ec73a,1783184400031,1783184400031,2026-07-05T01:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-8f3d67e68fbefbbb9fc9b68a0e2db358c19c665c,1783184400031,1783184400031,2026-07-05T01:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-a6f25974fcea2646891e7671ebc71802eba5b6ac,1783188000016,1783188000016,2026-07-05T02:00:00.016000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000138,-5.0,0.0000125,,funding
funding-4bde76a7af0c57b06abfb971841b9ca676b2059b,1783188000016,1783188000016,2026-07-05T02:00:00.016000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-2af5a877967128ca0d2970398559e2202d562571,1783188000016,1783188000016,2026-07-05T02:00:00.016000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-03131a05f974b8749dde5fdb588faab11e3cbf93,1783191600033,1783191600033,2026-07-05T03:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000136,-5.0,0.0000125,,funding
funding-8a2e4889b1b84d0d8a8159a3d7bacbbb32ee7711,1783191600033,1783191600033,2026-07-05T03:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-fb347c42104f7505bfa8dc814e654aa99f14f35f,1783191600033,1783191600033,2026-07-05T03:00:00.033000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000086,-0.15,-0.0000079555,,funding
funding-c5c11d7e85edd2d02ff108a129e51599594e66ce,1783195200036,1783195200036,2026-07-05T04:00:00.036000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000136,-5.0,0.0000125,,funding
funding-c6a26fee790dc1e7b2fb884c93fc3ced250299cb,1783195200036,1783195200036,2026-07-05T04:00:00.036000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-922011b5f1558c8f2f553dd0049e9892cd994119,1783195200036,1783195200036,2026-07-05T04:00:00.036000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000208,-0.15,-0.0000192885,,funding
funding-ca8d2e6ab5fba0905de104cdde5c4359230840a1,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000138,-5.0,0.0000125,,funding
funding-001df17b18eafc48a2e119639d1c20f103190600,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-d5989ba998d7b1c938e8979f846c940f7bcde560,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-56e885795ba2dd73dbac5ecb37671388ab783e0a,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.00014,-5.0,0.0000125,,funding
funding-0b649aa7a8378e66bbc41b955c2e050f018601df,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-4cb1902ee2942725fbaf7c268840b68a58ba52f5,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-62442d68446e7f393b490fa397f21057bf015c20,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000141,-5.0,0.0000125,,funding
funding-03b6daaa079f1c72998f8cd9937380fa6214d5c6,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000231,-0.17,0.0000109918,,funding
funding-7bca87610d0a4f458f9f8997e6fa08d5aac4f4f3,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.0004,-0.15,0.0000370039,,funding
funding-3049dbe5cc433e20ee1ab3122db1551da8fc60c0,1783209600077,1783209600077,2026-07-05T08:00:00.077000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-e25aed5bc190f6ab3b8866013d91e3563d59518e,1783209600077,1783209600077,2026-07-05T08:00:00.077000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.0000061985,,funding
funding-e347b3409ae7b657af418132c443543010b742e7,1783213200057,1783213200057,2026-07-05T09:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-ef2ae6cbc4ad2a612fda00633f1614a7baae458a,1783213200057,1783213200057,2026-07-05T09:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000013,-0.15,0.0000012129,,funding
funding-9562d2d385db76a7d790720d64c9b9a940214f76,1783216800021,1783216800021,2026-07-05T10:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,-0.000086,-5.0,-0.0000078498,,funding
funding-524bee720c8aa5f8af02e7a8a50b848ce15552c2,1783216800021,1783216800021,2026-07-05T10:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-5b3df3f72410aa061b541dac75aa2a2a86c6814f,1783220400031,1783220400031,2026-07-05T11:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-fe08fbcbaeee2d1b6080f28bdedea931448af9f8,1783220400031,1783220400031,2026-07-05T11:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000339,-0.15,0.0000313412,,funding
funding-7029545da64f293bfdfe9ace03cbd662c369f43b,1783224000046,1783224000046,2026-07-05T12:00:00.046000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000136,-5.0,0.0000125,,funding
funding-94f06e14f513ad16e6c8840b0fd54fe2fc44a03a,1783306800027,1783306800027,2026-07-06T11:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-8f60b7ae7b25b37d15a565bfcea73b24e91be550,1783306800027,1783306800027,2026-07-06T11:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000543,-0.05,0.0000493771,,funding
funding-2ab026ae13804e47efe5d15cac35b4263c5a3b58,1783310400055,1783310400055,2026-07-06T12:00:00.055000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-980404e9cc1c96892db9a8e0580fe21d1b65c8cf,1783310400055,1783310400055,2026-07-06T12:00:00.055000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000388,-0.05,0.0000351896,,funding
funding-a57db5533afcae0ecec17d4446b90390ab8275b3,1783314000021,1783314000021,2026-07-06T13:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-e540f8068b110dab655cf262b0962736f085a54c,1783314000021,1783314000021,2026-07-06T13:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000528,-0.05,0.0000475425,,funding
funding-2f9dc026ad73c256f1c87e8e7f458c0574679d43,1783317600057,1783317600057,2026-07-06T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-06da2203f9c8dc9b0d99be2e83daad7a2cb2f597,1783317600057,1783317600057,2026-07-06T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000467,-0.05,0.0000420163,,funding
funding-4337511d327a51c8b4f9b05ed444b6e11d121a42,1783321200035,1783321200035,2026-07-06T15:00:00.035000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000111,-0.0006,0.00000625,,funding
funding-8bfe2649ffad879dbfff8c663a71990bd4400efb,1783321200035,1783321200035,2026-07-06T15:00:00.035000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000286,-0.05,0.0000256114,,funding
